country,lon,lat,population
Fiji,163.85316464458234,-17.31630942638265,889953.0
Tanzania,34.75298985475595,-6.257732428506092,58005463.0
W. Sahara,-12.13783111160779,24.291172960208623,603253.0
Canada,-98.14238137209708,61.46907614534896,37589262.0
United States of America,-112.5994359115045,45.70562800215178,328239523.0
Kazakhstan,67.2846109811001,48.19166075218232,18513930.0
Uzbekistan,63.20363952823182,41.748602664652246,33580650.0
Papua New Guinea,145.31757462782247,-6.451644514630347,8776109.0
Indonesia,117.42340756227364,-2.221737936520542,270625568.0
Argentina,-65.17536077114173,-35.4468214894951,44938712.0
Chile,-71.5206439451643,-39.04701430994844,18952038.0
Dem. Rep. Congo,23.582955831479083,-2.8502757110956667,86790567.0
Somalia,45.72670076723565,4.752347756504953,10192317.3
Kenya,37.791555286661385,0.5959662521769523,52573973.0
Sudan,29.862604012257922,15.990585003116717,42813238.0
Chad,18.581329525332894,15.328867399839682,15946876.0
Haiti,-72.65801330535574,18.900700691843337,11263077.0
Dominican Rep.,-70.46235845697531,18.884487087982258,10738958.0
Russia,96.80331818290134,61.961663494923,144373535.0
Bahamas,-77.92997080393516,25.515491725336624,389482.0
Falkland Is.,-59.42097279311021,-51.71322176551185,3398.0
Norway,15.468119955206761,69.15685630975351,5347896.0
Greenland,-41.50018111492097,74.77048769398986,56225.0
Fr. S. Antarctic Lands,69.5315804704237,-49.306454911671985,140.0
Timor-Leste,125.96630027368401,-8.767760362467003,1293119.0
South Africa,25.048013879861678,-28.947033259979115,58558270.0
Lesotho,28.170105295170494,-29.625290493692013,2125268.0
Mexico,-102.5763495239869,23.935371902244835,127575529.0
Uruguay,-56.003278666548475,-32.780904365230825,3461734.0
Brazil,-53.05434003576711,-10.806773643498916,211049527.0
Bolivia,-64.64140560603113,-16.72898701530584,11513100.0
Peru,-74.39180581684722,-9.191562905134553,32510453.0
Colombia,-73.07773208697478,3.927213862709704,50339443.0
Panama,-80.10916483549376,8.530019388864652,4246439.0
Costa Rica,-84.17542309600948,9.965671127464528,5047561.0
Nicaragua,-85.02031850080252,12.848190428036988,6545502.0
Honduras,-86.58996383801542,14.822947081652929,9746117.0
El Salvador,-88.87290317032377,13.726091625794197,6453553.0
Guatemala,-90.36945836053154,15.699360612026911,16604026.0
Belize,-88.70342125299318,17.197089911451545,390353.0
Venezuela,-66.16382727830238,7.162132267639002,28515829.0
Guyana,-58.97120310856251,4.790225375174759,782766.0
Suriname,-55.91145629952073,4.1200080317588865,581363.0
France,-2.8766966992706267,42.46070432663372,67059887.0
Ecuador,-78.38416674608374,-1.4547717055405804,17373662.0
Puerto Rico,-66.47922227695507,18.2372245709719,3193694.0
Jamaica,-77.32425480164892,18.137636127868436,2948279.0
Cuba,-78.96068490970256,21.631751541025228,11333483.0
Zimbabwe,29.788548371892524,-18.906987947858802,14645468.0
Botswana,23.773081465789428,-22.099711378826413,2303697.0
Namibia,17.156168126194093,-22.099776931731068,2494530.0
Senegal,-14.50980278585943,14.354139988452022,16296364.0
Mali,-3.543294339453343,17.267772061700715,19658031.0
Mauritania,-10.326396925234992,20.20926720635376,4525696.0
Benin,2.337377553496156,9.647430780663699,11801151.0
Niger,9.324427099857923,17.345552814745542,23310715.0
Nigeria,7.995127754089786,9.548318418209965,200963599.0
Cameroon,12.611551546501774,5.663095287992696,25876380.0
Togo,0.9964039436703582,8.439541954669616,8082366.0
Ghana,-1.2369685557063992,7.928651813099648,30417856.0
Côte d'Ivoire,-5.6120436452252225,7.5537550070104915,25716544.0
Guinea,-11.060853741185456,10.44827287727134,12771246.0
Guinea-Bissau,-15.110623751667879,12.022704382325685,1920922.0
Liberia,-9.410836154371117,6.431619862252993,4937374.0
Sierra Leone,-11.795257428559948,8.53035372615305,7813215.0
Burkina Faso,-1.77653745205594,12.311650494136712,20321378.0
Central African Rep.,20.374347291243915,6.5427787059213145,4745185.0
Congo,15.13446176741353,-0.8378010872252886,5380508.0
Gabon,11.687751174902044,-0.6470481398040288,2172579.0
Eq. Guinea,10.366031325064027,1.6458643199600753,1355986.0
Zambia,27.727591918760577,-13.395067553524187,17861030.0
Malawi,34.193605326922366,-13.172834992341919,18628747.0
Mozambique,35.47261597864435,-17.230448975659677,30366036.0
eSwatini,31.39525590206532,-26.48985528852001,1148130.0
Angola,17.47057255231345,-12.245869036133188,31825295.0
Burundi,29.91389229542573,-3.3773910753554657,11530580.0
Israel,35.003851206429005,31.4849193900197,9053300.0
Lebanon,35.87098632001643,33.91182720781994,6855713.0
Madagascar,46.69117091471639,-19.356114077828778,26969307.0
Palestine,35.27331962289024,31.94113662241515,4685306.0
Gambia,-15.431872807730837,13.47533435870166,2347706.0
Tunisia,9.534716120695835,34.172939036882376,11694719.0
Algeria,2.5980477916183444,28.185481278657537,43053054.0
Jordan,36.77945490632519,31.245490584748417,10101694.0
United Arab Emirates,54.20671476159633,23.86863365334761,9770529.0
Qatar,51.1835025789133,25.32185097420669,2832067.0
Kuwait,47.600098887626416,29.307266634033564,4207083.0
Iraq,43.75691096461423,33.03682096372491,39309783.0
Oman,56.09867281997542,20.611174374229545,4974986.0
Vanuatu,167.07375126822674,-15.542677057554924,299882.0
Cambodia,104.87608532525192,12.684728629393506,16486542.0
Thailand,101.00613354626108,15.01697499141648,69625582.0
Laos,103.75025989504465,18.444978089036088,7169455.0
Myanmar,96.50584094206161,21.016999873773827,54045420.0
Vietnam,106.28584079705195,16.657937753254938,96462106.0
North Korea,127.16501590888976,40.14302033650109,25666161.0
South Korea,127.8213171283307,36.42759860415487,51709098.0
